tok,n
E_204_@_V_10,1194404
E_53,1000618
E_57_@_V_123,737724
E_66,503146
E_201,402018
E_54_@_V_161,391628
E_79,363510
E_54_@_V_192,281871
E_91,274187
E_181,254993
E_131_@_V_10,221357
E_129,212305
E_54_@_V_179,208850
E_54_@_V_181,196997
E_55_@_V_89,192707
E_54_@_V_183,187164
E_135_@_V_12,179737
E_54_@_V_154,174378
E_124,170880
E_55_@_V_29,170116
E_50,163694
E_78,150052
E_55_@_V_101,149601
E_55_@_V_159,148383
E_55_@_V_55,147882
E_55_@_V_197,143696
E_55_@_V_62,139614
E_56_@_5,139440
E_58_@_6,139258
E_59_@_5,139166
