model,a2_posterior,cot_posterior,elr_weights_ordinal,elr_weights_logodds,a1_narrative,a1_answer,a4_posterior,elr_prior,a3_posterior,elr_weights_numeric,a1_posterior,a1_prior_supplied,a1_distractor
qwen3-4b-nothink,1.0,0.9950579413769598,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999233128834356,,
qwen3-4b-think,0.9518607033117105,0.7694274028629857,1.0,1.0,0.9245454545454546,1.0,0.9277777777777778,1.0,0.9511705685618729,1.0,0.9264059304703477,,
qwen3-8b-nothink,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qwen3-8b-think,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
qwen3-32b-nothink,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qwen3-32b-think,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
medgemma-1.5-4b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
medgemma-27b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
med42-8b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt-oss-20b,0.9226698531922157,0.8916155419222904,0.2836438923395445,0.34368530020703936,0.9011363636363636,0.9908259486480345,0.8998148148148148,0.9285714285714286,0.9130434782608695,0.37060041407867494,0.9064928425357873,,
r1-distill-32b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
