model,n_cases,beta_position,ci_lo,ci_hi,eta_squared,jsd_between_positions,jsd_within_position,position_effect,top1_flip_rate
qwen3-4b-nothink,600,-0.040672858257308854,-0.07030057224904727,-0.010861215144146522,NaN,0.12970379849740696,0.1161054812541082,0.013598317243298755,0.4083333333333333
qwen3-4b-think,590,-0.04567737099299689,-0.08090791622261578,-0.011933141944901726,NaN,0.13508714498760346,0.12805009338672055,0.007037051600882915,0.30847457627118646
qwen3-8b-nothink,600,-0.04741688871864714,-0.08166947376011088,-0.014349694320145804,NaN,0.20718600217661742,0.20112198709769488,0.006064015078922541,0.6183333333333333
qwen3-8b-think,600,-0.058832650221212,-0.11827028892886354,-0.0019009278648186969,NaN,0.1803370729528525,0.1756519474074165,0.004685125545436014,0.29
qwen3-32b-nothink,600,-0.0743283357237611,-0.1477251630989561,-0.004579683288993378,NaN,0.2869673516294551,0.2840204351023783,0.0029469165270767927,0.5783333333333334
qwen3-32b-think,600,-0.05084280634743367,-0.14861753646105705,0.04301392576656155,NaN,0.3064191375571651,0.30132492992243276,0.0050942076347323395,0.42
medgemma-1.5-4b,600,0.03712784837488892,-0.0038775036934291184,0.07889575982492257,0.24542724764773893,0.2791051977117001,0.28073324339277017,-0.001628045681070056,0.37166666666666665
medgemma-27b,600,0.05922899948572409,0.001371677824109047,0.12109042970925678,NaN,0.28007857041397677,0.2719536681741669,0.008124902239809884,0.4483333333333333
med42-8b,600,-0.030953795745773154,-0.10018525211842597,0.03267483269870071,0.26343563429416117,0.26279443754697396,0.2564594185713066,0.00633501897566735,0.635
gpt-oss-20b,583,-0.056678869578395026,-0.13261474301137274,0.018876095814657868,0.26943735897487037,0.2868596547165051,0.2885913124754647,-0.001731657758959615,0.7032590051457976
r1-distill-32b,600,-0.12641704425290304,-0.22060310746288034,-0.03648182353604756,NaN,0.2722653284713473,0.27626041829441605,-0.0039950898230687315,0.3233333333333333
