pathology,len,prior,severity
URTI,81767,0.06325880275016073,5
Viral pharyngitis,78222,0.06051622376659376,4
Anemia,64410,0.04983060996658618,4
HIV (initial infection),36784,0.02845783507236308,3
Anaphylaxis,35271,0.027287307004059326,1
Localized edema,35253,0.027273381356187898,4
Pulmonary embolism,34872,0.026978621809576046,2
Influenza,33956,0.026269961062341255,3
Bronchitis,33537,0.025945802925778617,4
GERD,32948,0.025490124781541397,3
Acute otitis media,32907,0.025458405250278704,4
Pneumonia,32787,0.025365567597802532,3
Acute dystonic reactions,32565,0.02519381794072161,2
Panic attack,31643,0.02448051531086301,5
Acute laryngitis,30753,0.023791969388331387,4
Allergic sinusitis,30750,0.023789648447019484,4
Pericarditis,28912,0.02236768506992609,4
Guillain-Barré syndrome,28025,0.021681460088706375,2
Sarcoidosis,27215,0.021054805934492205,4
Possible NSTEMI / STEMI,27114,0.020976667576991424,1
Unstable angina,26872,0.02078944497783114,2
Atrial fibrillation,26476,0.020483080724659767,3
Cluster headache,26470,0.02047843884203596,3
Chronic rhinosinusitis,26043,0.020148091528641575,5
Inguinal hernia,25618,0.019819291509455127,3
Bronchospasm / acute asthma exacerbation,24306,0.018804266509048963,3
Acute pulmonary edema,24116,0.018657273559295022,1
Pancreatic neoplasm,24013,0.018577587907586304,3
PSVT,23600,0.018258071653647474,2
Bronchiectasis,23568,0.018233314946320495,3
Scombroid food poisoning,23271,0.018003541756441966,2
Myasthenia gravis,22940,0.017747464565028518,3
Acute COPD exacerbation / infection,21890,0.016935135105862,3
Epiglottitis,21821,0.016881753455688202,2
Stable angina,21721,0.016804388745291388,2
Tuberculosis,20332,0.01572979291787968,3
Boerhaave,19238,0.014883422986138563,2
Pulmonary neoplasm,18266,0.014131438001081558,3
Acute rhinosinusitis,17273,0.013363206426841221,4
SLE,15010,0.011612443030561382,4
Myocarditis,14098,0.010906876871742462,2
Spontaneous pneumothorax,12910,0.009987784112228342,2
Larygospasm,12451,0.009632680091506978,1
Chagas,11453,0.008860580281746801,3
Spontaneous rib fracture,7272,0.00562596174005612,3
Whooping cough,7164,0.005542407852827564,4
Croup,3463,0.0026791399210415764,2
Ebola,908,0.0007024715704030469,1
Bronchiolitis,325,0.0002514353087896368,3
