model,n_posterior_items,n_named_items,posterior_argmax_top1,posterior_lo,posterior_hi,named_diagnosis_top1,named_lo,named_hi,gap_named_minus_posterior,median_rank_of_named_in_posterior,named_ranked_first_rate
qwen3-4b-nothink,39117,35208,0.05518916155419222,0.04785276073619631,0.06270449897750512,0.26644512610770277,0.250253493524199,0.282096398545785,0.21125596455351053,2.0,0.4383184206788808
qwen3-4b-think,36241,35208,0.04385200515825029,0.03833850776973509,0.049983556093974556,0.23327084753465124,0.21818904794364916,0.24849537037037037,0.18941884237640094,2.0,0.46938463420601906
qwen3-8b-nothink,39120,35208,0.10028118609406952,0.09010672290388548,0.11027735173824128,0.28118609406952966,0.2648538684389911,0.2981708702567598,0.18090490797546013,3.0,0.30055669166098614
qwen3-8b-think,39120,35208,0.0897239263803681,0.0801635991820041,0.09936157975460123,0.25161895023858216,0.23636531470120428,0.26755424903431035,0.16189502385821408,2.0,0.33515110202226767
qwen3-32b-nothink,39120,35208,0.169120654396728,0.15802530674846627,0.180752172801636,0.5372926607589184,0.5194842081345149,0.5555846682572142,0.3681720063621904,2.0,0.43714496705294253
qwen3-32b-think,39120,35208,0.14281697341513294,0.13177338957055215,0.1536560582822086,0.5119291070211316,0.49409225176096344,0.5302204044535332,0.36911213360599865,1.0,0.5576289479663713
medgemma-1.5-4b,39120,35208,0.022929447852760736,0.01853271983640082,0.027454626789366044,0.08052147239263803,0.07174434787548284,0.0900654680754374,0.057592024539877294,3.0,0.3162633492388094
medgemma-27b,39120,35208,0.09345603271983641,0.08346114519427403,0.10375830777096114,0.520393092478982,0.5014769370597592,0.539253862758464,0.42693705975914564,2.0,0.3839468302658487
med42-8b,39120,35208,0.07354294478527608,0.06538790899795502,0.08192932004089976,0.3091626902976596,0.2924896330379459,0.32643291297432403,0.23561974551238352,3.0,0.13127698250397637
gpt-oss-20b,35462,34885,0.35527774752053703,0.34419486217114587,0.36668131749522187,0.6509985654958138,0.6327665271515077,0.6677780624988876,0.2957208179752768,2.0,0.4828051882792626
r1-distill-32b,39120,35208,0.10204498977505114,0.09297034764826177,0.11134969325153375,0.3077993637809588,0.29178027720972505,0.3245583390138605,0.20575437400590765,1.0,0.5396784821631447
