model,n_cases,logprob_sum_top1,logprob_sum_lo,logprob_sum_hi,logprob_sum_top5,logprob_meanlen_top1,logprob_meanlen_lo,logprob_meanlen_hi,logprob_meanlen_top5,stated_posterior_top1,stated_lo,stated_hi,named_top1,named_lo,named_hi,sum_over_stated,meanlen_over_stated,sum_top5_minus_top1
qwen3-4b-nothink,1956,0.19734151329243355,0.18047034764826175,0.2147239263803681,0.41973415132924335,0.12372188139059305,0.10940695296523517,0.1385480572597137,0.2714723926380368,0.055193394176445025,0.04795868803844876,0.0626070906566526,0.26644512610770277,0.25042532947057483,0.2828902522154056,3.5754552920148788,2.241606685667359,0.2223926380368098
qwen3-4b-think,1956,0.20040899795501022,0.18302658486707565,0.21779141104294478,0.4176891615541922,0.12269938650306748,0.10889570552147239,0.13803680981595093,0.26789366053169733,0.0458872547667007,0.03966286843101407,0.05205948392664124,0.23327084753465122,0.21830194842081346,0.24846696773460578,4.3674218249473995,2.6739317295596323,0.217280163599182
qwen3-8b-nothink,1956,0.16973415132924335,0.15286298568507156,0.18711656441717792,0.3778118609406953,0.13803680981595093,0.12321063394683027,0.15388548057259713,0.28118609406952966,0.10028118609406952,0.09015848670756646,0.11045501022494887,0.28118609406952966,0.26451374687571005,0.29811406498523063,1.6925822074942647,1.37649757838389,0.20807770961145194
qwen3-8b-think,1956,0.17075664621676892,0.15439672801635992,0.18813905930470348,0.37525562372188137,0.13752556237218813,0.12269938650306748,0.15337423312883436,0.28016359918200406,0.0897239263803681,0.0800351482617587,0.09936157975460122,0.25161895023858216,0.23625241422404,0.26732773801408766,1.9031339031339032,1.5327635327635327,0.20449897750511245
qwen3-32b-nothink,1956,0.5102249488752556,0.48773006134969327,0.5332310838445807,0.7530674846625767,0.32413087934560325,0.3041922290388548,0.3451048057259712,0.5777096114519428,0.16912065439672802,0.15815375766871168,0.18067548568507158,0.5372926607589185,0.5183197000681663,0.5554994603499205,3.016928657799274,1.9165659008464326,0.24284253578732107
qwen3-32b-think,1956,0.5107361963190185,0.488241308793456,0.5337423312883436,0.7520449897750511,0.32413087934560325,0.3041922290388548,0.3450920245398773,0.5787321063394683,0.14281697341513291,0.13233576175869122,0.15396280674846624,0.5119291070211316,0.49358100431720064,0.5298802828902521,3.5761589403973515,2.269554322534455,0.24130879345603262
medgemma-1.5-4b,1956,0.02044989775051125,0.014314928425357873,0.0270961145194274,0.2888548057259714,0.13394683026584867,0.1196319018404908,0.1497955010224949,0.30214723926380366,0.022929447852760736,0.01863433026584867,0.027377300613496934,0.08052147239263803,0.07208588957055215,0.0896955237446035,0.8918617614269789,5.8416945373467115,0.2684049079754601
medgemma-27b,1956,0.02198364008179959,0.015848670756646217,0.028629856850715747,0.5322085889570553,0.1252556237218814,0.11094069529652352,0.14008179959100203,0.37525562372188137,0.09345603271983641,0.08361451942740286,0.10375830777096114,0.520393092478982,0.5017034480799819,0.5397644001363326,0.23522975929978115,1.3402625820568927,0.5102249488752557
med42-8b,1956,0.02044989775051125,0.014314928425357873,0.0270961145194274,0.5649284253578732,0.12372188139059305,0.10889570552147239,0.1385480572597137,0.38599182004089977,0.07354294478527608,0.06549079754601227,0.08169798057259713,0.30916269029765964,0.2920919961372415,0.32671622926607585,0.2780674313521029,1.6823079596802224,0.544478527607362
gpt-oss-20b,1956,0.1303680981595092,0.11552914110429449,0.14519427402862986,0.21932515337423314,0.0679959100204499,0.05725971370143149,0.07924335378323108,0.17024539877300612,0.35629688116857483,0.34526348224170345,0.36719551913097304,0.6532320481582342,0.635463724748361,0.6704255634254452,0.3658973879645837,0.1908405984285868,0.08895705521472394
r1-distill-32b,1956,0.02044989775051125,0.014314928425357873,0.0270961145194274,0.6390593047034765,0.26533742331288346,0.24539877300613497,0.28578732106339466,0.4570552147239264,0.10204498977505112,0.09274028629856851,0.11106914621676892,0.30779936378095885,0.29149554078618495,0.3243865030674847,0.20040080160320642,2.6002004008016035,0.6186094069529653
