model,answer_top1,posterior_top1,ratio,gap,informative_rate
qwen3-4b-nothink,0.26644512610770277,0.05680655066530194,4.690394382112173,0.20963857544240083,0.5524651552720684
qwen3-4b-think,0.23327084753465122,0.061096136567834684,3.818094901559806,0.17217471096681652,0.5339313572387088
qwen3-8b-nothink,0.28118609406952966,0.10173824130879346,2.763819095477387,0.17944785276073622,0.7552530674846626
qwen3-8b-think,0.25161895023858216,0.09969325153374232,2.5239316239316243,0.15192569870483985,0.7246634287661895
qwen3-32b-nothink,0.5372926607589185,0.18916155419222905,2.8403903903903904,0.34813110656668944,0.7858469665985004
qwen3-32b-think,0.5119291070211316,0.1497955010224949,3.4175199089874857,0.3621336059986367,0.5934049079754601
medgemma-1.5-4b,0.08052147239263803,0.018404907975460124,4.374999999999999,0.0621165644171779,0.7323321404226312
medgemma-27b,0.520393092478982,0.10429447852760736,4.989651416122005,0.41609861395137465,0.666249147920927
med42-8b,0.30916269029765964,0.07719836400817996,4.004782928623988,0.23196432628947966,0.9977590320381732
gpt-oss-20b,0.6532320481582342,0.38610478359908884,1.691851735347875,0.26712726455914537,0.9996600080402733
r1-distill-32b,0.30779936378095885,0.11247443762781185,2.7366161616161615,0.195324926153147,0.5257881731424676
