model,n_items,n_points,beta,beta_lo,beta_hi,intercept,r2,spearman,mean_abs_error,direction_agreement,tie_rate
qwen3-4b-nothink,1435,4693,0.01644514457775527,0.005659304806608689,0.029540776823920287,-0.05092780427532029,0.007481411099639068,-0.0291539701831433,1.9897592096913395,0.4976873265494912,0.30897080758576606
qwen3-4b-think,1298,4282,0.015809248890095207,0.002430368456882647,0.0308575529695754,0.01460541350287424,0.00512665562835668,0.021133424176261944,1.9590299943399856,0.5488789237668161,0.21882297991592714
qwen3-8b-nothink,1435,4693,0.022113592976000636,0.01232382577068139,0.03389042742147825,-0.021525685111263133,0.020666083119477152,0.06060933367652457,1.9556657217042963,0.4698551700909397,0.367355636053697
qwen3-8b-think,1435,4693,0.03573739792067998,0.01763846287708125,0.056773805687576166,-0.07625630117044085,0.013113021632976563,0.0420850601146959,2.053912120189821,0.45788882650196516,0.2409972299168975
qwen3-32b-nothink,1435,4693,0.010227270001831932,-0.01767696807622283,0.03667627190512085,0.10370577506141622,0.0006174486254408862,0.0011258767539639328,2.2793721092577295,0.5052786643751535,0.13211165565736202
qwen3-32b-think,1435,4693,0.02588722904612225,-0.009371027646855054,0.062282667406064945,-0.08834689347700342,0.002387202692178181,-0.030708938517285563,2.47517813381339,0.4611721611721612,0.4182825484764543
medgemma-1.5-4b,1435,4693,0.0009217411639097436,-0.02128136721757299,0.025016401303423835,0.0011863110667621932,5.216273268660032e-6,-0.02831475056952654,2.4479401273879406,0.4861078683166005,0.08736415938632006
medgemma-27b,1435,4693,0.02215738257490996,0.004893601444741559,0.039683338509614155,-0.15182212081798913,0.008098506313600873,-0.002442597325732338,2.163173808721766,0.45355888924353654,0.33240997229916897
med42-8b,1435,4693,0.057551089735790185,0.02470267755770795,0.08992980119194245,-0.14333066304947417,0.01145279394293186,-0.011106950998921476,2.548617603920258,0.526200394650296,0.02812699765608353
gpt-oss-20b,1244,4058,0.023089811734809465,-0.013478601493674124,0.056785512073399144,0.05465436382130562,0.002601404923425865,0.05849510758714058,2.4347300924150117,0.5333168194203617,0.005174963035978314
r1-distill-32b,1435,4693,0.0031664687226268997,-0.039402113079539954,0.04662061170398496,0.37489931417154965,0.000020065915085965003,-0.007853096385674982,2.6659943050200026,0.5245079120030877,0.44790112934157256
