model,n_cases,mean_samples_per_case,single_sample_top1,single_lo,single_hi,n_sample_averaged_top1,avg_lo,avg_hi,gain_from_averaging
qwen3-4b-nothink,1956,5.999488752556237,0.05743012951601909,0.04848116905248807,0.06637695978186775,0.07106339468302658,0.0598159509202454,0.08282208588957055,0.01363326516700749
qwen3-4b-think,1954,5.580859774820881,0.04785056294779939,0.04089901057659502,0.05520428181508016,0.07011258955987718,0.05885363357215967,0.08188331627430911,0.02226202661207779
qwen3-8b-nothink,1956,6.0,0.1085548738922972,0.09688139059304704,0.12048611111111109,0.12372188139059305,0.10940695296523517,0.1385480572597137,0.015167007498295845
qwen3-8b-think,1956,6.0,0.09679618268575323,0.08563394683026584,0.10795841854124062,0.11707566462167689,0.1032719836400818,0.13089212678936588,0.02027948193592366
qwen3-32b-nothink,1956,6.0,0.18609406952965235,0.17237559645535103,0.19989775051124745,0.22648261758691207,0.2085889570552147,0.2448875255623722,0.04038854805725972
qwen3-32b-think,1956,6.0,0.1549079754601227,0.14229720518064076,0.16794478527607362,0.19069529652351738,0.1738241308793456,0.20807770961145194,0.03578732106339469
medgemma-1.5-4b,1956,6.0,0.024539877300613498,0.019853442399454666,0.029654481935923623,0.031186094069529654,0.023517382413087935,0.03885480572597137,0.006646216768916156
medgemma-27b,1956,6.0,0.09850034083162917,0.0871676891615542,0.11059986366734832,0.1140081799591002,0.09969325153374232,0.12832310838445807,0.01550783912747103
med42-8b,1956,6.0,0.07711315610088615,0.0678254942058623,0.08674164962508521,0.08026584867075665,0.06850715746421268,0.09253578732106339,0.0031526925698704966
gpt-oss-20b,1955,5.452173913043478,0.3843222506393862,0.3706455669224212,0.3980822676896846,0.5442455242966752,0.5217391304347826,0.5662404092071611,0.15992327365728898
r1-distill-32b,1956,6.0,0.11554192229038855,0.104718387866394,0.12610770279481937,0.19785276073619631,0.18098159509202455,0.21574642126789367,0.08231083844580776
