model,tau,n_cases,top1_accuracy,top5_accuracy,nll_of_truth,mean_entropy_bits,order_invariant
qwen3-4b-nothink,0.0,1956,0.016359918200409,0.09611451942740286,4.149191081754658,5.137845762765461,exact
qwen3-4b-nothink,0.02,1956,0.028118609406952964,0.1196319018404908,4.1547335799719916,5.128017725617575,exact
qwen3-4b-nothink,0.05,1956,0.028118609406952964,0.1196319018404908,4.164970059182102,5.110095835245118,exact
qwen3-4b-nothink,0.1,1956,0.028118609406952964,0.1196319018404908,4.1876570234546655,5.070396724724442,exact
qwen3-4b-nothink,0.2,1956,0.028629856850715747,0.12065439672801637,4.257927150328294,4.9441010583118326,exact
qwen3-4b-nothink,0.4,1956,0.031186094069529654,0.12269938650306748,4.524035772262435,4.485070202031649,exact
qwen3-4b-nothink,0.6,1956,0.03169734151329243,0.1221881390593047,4.952308439742454,3.950224284096233,exact
qwen3-4b-nothink,0.8,1956,0.031186094069529654,0.1221881390593047,5.491967166919664,3.486374202574621,exact
qwen3-4b-nothink,1.0,1956,0.032719836400818,0.12167689161554192,6.103133721087035,3.1162257076184092,exact
qwen3-4b-nothink,1.5,1956,0.034764826175869123,0.12065439672801637,7.797854661333135,2.5291138634323764,exact
qwen3-4b-nothink,2.0,1956,0.03578732106339468,0.1196319018404908,9.592378527179298,2.2145208098470635,exact
qwen3-4b-nothink,3.0,1956,0.03680981595092025,0.1196319018404908,12.676848913855071,1.8681075819144553,exact
qwen3-4b-think,0.0,1956,0.02044989775051125,0.10429447852760736,3.9493038309247983,5.451024385579035,exact
qwen3-4b-think,0.02,1956,0.02965235173824131,0.11196319018404909,3.9515981590337974,5.445977271661089,exact
qwen3-4b-think,0.05,1956,0.028629856850715747,0.11196319018404909,3.9558529573663694,5.436963706406671,exact
qwen3-4b-think,0.1,1956,0.028118609406952964,0.11196319018404909,3.965280021209879,5.417642454180274,exact
qwen3-4b-think,0.2,1956,0.028118609406952964,0.11196319018404909,3.994098582568627,5.35959409986121,exact
qwen3-4b-think,0.4,1956,0.028629856850715747,0.11247443762781185,4.100881083284974,5.146603588770358,exact
qwen3-4b-think,0.6,1956,0.03067484662576687,0.11196319018404909,4.283391801480422,4.822342126992641,exact
qwen3-4b-think,0.8,1956,0.03067484662576687,0.11196319018404909,4.535808209966198,4.476864840180963,exact
qwen3-4b-think,1.0,1956,0.03169734151329243,0.11196319018404909,4.8393712580877,4.18308037870111,exact
qwen3-4b-think,1.5,1956,0.032208588957055216,0.11196319018404909,5.722601289371571,3.6867505760720785,exact
qwen3-4b-think,2.0,1956,0.032719836400818,0.11196319018404909,6.694955650567761,3.379208725277781,exact
qwen3-4b-think,3.0,1956,0.032719836400818,0.11247443762781185,8.656292336215971,2.997732054749262,exact
qwen3-8b-nothink,0.0,1956,0.02556237218813906,0.10224948875255624,4.0153684248457875,5.31416985913875,exact
qwen3-8b-nothink,0.02,1956,0.024539877300613498,0.19989775051124745,4.020991915928397,5.283928587151971,exact
qwen3-8b-nothink,0.05,1956,0.024539877300613498,0.19989775051124745,4.034087220378171,5.2278321047022684,exact
qwen3-8b-nothink,0.1,1956,0.020961145194274028,0.19989775051124745,4.070898982488131,5.100312181992534,exact
qwen3-8b-nothink,0.2,1956,0.017382413087934562,0.19989775051124745,4.2176088787385595,4.700408357306943,exact
qwen3-8b-nothink,0.4,1956,0.02198364008179959,0.19989775051124745,4.863480213655493,3.53322184707632,exact
qwen3-8b-nothink,0.6,1956,0.027607361963190184,0.19989775051124745,5.872446463028475,2.5483480384261465,exact
qwen3-8b-nothink,0.8,1956,0.028118609406952964,0.200920245398773,7.0658985112969095,1.9209184962725774,exact
qwen3-8b-nothink,1.0,1956,0.02965235173824131,0.200920245398773,8.348020864540347,1.5284700071250916,exact
qwen3-8b-nothink,1.5,1956,0.03016359918200409,0.200920245398773,11.659922123442506,1.0249847739343796,exact
qwen3-8b-nothink,2.0,1956,0.03067484662576687,0.200920245398773,14.611949287259709,0.8018259886023611,exact
qwen3-8b-nothink,3.0,1956,0.03067484662576687,0.20194274028629858,18.626826631417153,0.6003032520780339,exact
qwen3-8b-think,0.0,1956,0.019427402862985686,0.10378323108384459,4.46174838596295,5.439466190047205,exact
qwen3-8b-think,0.02,1956,0.031186094069529654,0.19785276073619631,4.456170990937408,5.432645356199013,exact
qwen3-8b-think,0.05,1956,0.031186094069529654,0.19785276073619631,4.450615245237392,5.416072886066353,exact
qwen3-8b-think,0.1,1956,0.031186094069529654,0.19938650306748465,4.451146547718801,5.3634078607071665,exact
qwen3-8b-think,0.2,1956,0.03374233128834356,0.19989775051124745,4.509121944741351,5.102875698015734,exact
qwen3-8b-think,0.4,1956,0.036298568507157465,0.20143149284253578,4.95705447932971,4.014670628259113,exact
qwen3-8b-think,0.6,1956,0.03834355828220859,0.20143149284253578,5.790430370373026,2.901533370052927,exact
qwen3-8b-think,0.8,1956,0.03834355828220859,0.20245398773006135,6.834940460695812,2.143542814207909,exact
qwen3-8b-think,1.0,1956,0.03834355828220859,0.20245398773006135,7.976054166818833,1.6650740160843744,exact
qwen3-8b-think,1.5,1956,0.03834355828220859,0.20194274028629858,10.987654595846276,1.0503250836271754,exact
qwen3-8b-think,2.0,1956,0.03885480572597137,0.20194274028629858,13.898782571581146,0.75933011137215,exact
qwen3-8b-think,3.0,1956,0.03885480572597137,0.19938650306748465,18.124441961996702,0.4792805877076584,exact
qwen3-32b-nothink,0.0,1956,0.02147239263803681,0.11247443762781185,3.947391259282815,5.466001704266523,exact
qwen3-32b-nothink,0.02,1956,0.08282208588957055,0.22648261758691207,3.898421059320416,5.4287219937170095,exact
qwen3-32b-nothink,0.05,1956,0.09458077709611452,0.2367075664621677,3.8578421790746655,5.309320976960958,exact
qwen3-32b-nothink,0.1,1956,0.11298568507157464,0.2469325153374233,3.9071078118087077,4.892908620940224,exact
qwen3-32b-nothink,0.2,1956,0.13139059304703476,0.24948875255623723,4.456588730913007,3.7300996181473085,exact
qwen3-32b-nothink,0.4,1956,0.13548057259713703,0.2443762781186094,6.490855621656072,2.2171889344580245,exact
qwen3-32b-nothink,0.6,1956,0.13394683026584867,0.2448875255623722,8.924491900609851,1.4864548414406737,exact
qwen3-32b-nothink,0.8,1956,0.13445807770961146,0.2474437627811861,11.2654929403118,1.0906382040872487,exact
qwen3-32b-nothink,1.0,1956,0.1334355828220859,0.24795501022494887,13.260736318528018,0.8551498235034846,exact
qwen3-32b-nothink,1.5,1956,0.13496932515337423,0.2505112474437628,16.839010744438404,0.5490135156895513,exact
qwen3-32b-nothink,2.0,1956,0.13701431492842536,0.2505112474437628,18.91432728033584,0.4018761625705937,exact
qwen3-32b-nothink,3.0,1956,0.13752556237218813,0.25153374233128833,20.97666941806579,0.26246528174515604,exact
qwen3-32b-think,0.0,1956,0.019427402862985686,0.10633946830265849,3.9349300387628716,5.520744783783535,exact
qwen3-32b-think,0.02,1956,0.14366053169734153,0.2719836400817996,3.876107773235976,5.511641211563101,exact
qwen3-32b-think,0.05,1956,0.14775051124744376,0.2719836400817996,3.8021963969637613,5.473605573636641,exact
qwen3-32b-think,0.1,1956,0.1497955010224949,0.27300613496932513,3.7301953229617233,5.3063628865833214,exact
qwen3-32b-think,0.2,1956,0.15184049079754602,0.27607361963190186,3.8427526652835833,4.537626352188417,exact
qwen3-32b-think,0.4,1956,0.15439672801635992,0.2791411042944785,4.892700275340321,2.9341674636185258,exact
qwen3-32b-think,0.6,1956,0.1549079754601227,0.2796523517382413,6.422302784512716,2.014649302093559,exact
qwen3-32b-think,0.8,1956,0.15695296523517382,0.28067484662576686,8.127696267739777,1.4715547689174326,exact
qwen3-32b-think,1.0,1956,0.1574642126789366,0.28118609406952966,9.846702586594956,1.1326163437747219,exact
qwen3-32b-think,1.5,1956,0.15848670756646216,0.2822085889570552,13.278763382536644,0.6952197549051916,exact
qwen3-32b-think,2.0,1956,0.15899795501022496,0.2822085889570552,15.521426948856071,0.49254611602356757,exact
qwen3-32b-think,3.0,1956,0.15899795501022496,0.2842535787321063,18.329795860001997,0.30749825195064867,exact
medgemma-1.5-4b,0.0,1956,0.02198364008179959,0.10224948875255624,4.177470308344172,5.138138977225567,exact
medgemma-1.5-4b,0.02,1956,0.019427402862985686,0.09867075664621677,4.189754398736989,5.115440151489037,exact
medgemma-1.5-4b,0.05,1956,0.019427402862985686,0.09867075664621677,4.216494239739531,5.064253327826199,exact
medgemma-1.5-4b,0.1,1956,0.019427402862985686,0.09867075664621677,4.291125598112771,4.917664351225977,exact
medgemma-1.5-4b,0.2,1956,0.019427402862985686,0.10020449897750511,4.586596628393124,4.409562657842641,exact
medgemma-1.5-4b,0.4,1956,0.019427402862985686,0.09867075664621677,5.641167376594583,3.392787951703057,exact
medgemma-1.5-4b,0.6,1956,0.019427402862985686,0.09867075664621677,6.979895416118956,2.7748701851963773,exact
medgemma-1.5-4b,0.8,1956,0.019427402862985686,0.09918200408997956,8.396240128256482,2.4076890597532437,exact
medgemma-1.5-4b,1.0,1956,0.019427402862985686,0.09918200408997956,9.756823991607188,2.1887643937375474,exact
medgemma-1.5-4b,1.5,1956,0.019427402862985686,0.10020449897750511,12.555473358887038,1.923084238569149,exact
medgemma-1.5-4b,2.0,1956,0.018916155419222903,0.09611451942740286,14.579677658338376,1.7871745297885528,exact
medgemma-1.5-4b,3.0,1956,0.018916155419222903,0.0950920245398773,16.967626807309607,1.6352653115089255,exact
medgemma-27b,0.0,1956,0.02147239263803681,0.10531697341513292,3.939234204014683,5.491796373117001,exact
medgemma-27b,0.02,1956,0.033231083844580775,0.18762781186094069,3.9162383147844357,5.448363563062491,exact
medgemma-27b,0.05,1956,0.033231083844580775,0.18762781186094069,3.9492092963560594,5.221290664091431,exact
medgemma-27b,0.1,1956,0.03374233128834356,0.18865030674846625,4.284989740581664,4.292110076718023,exact
medgemma-27b,0.2,1956,0.033231083844580775,0.18916155419222905,5.888440005873938,2.33648682086632,exact
medgemma-27b,0.4,1956,0.032208588957055216,0.19069529652351738,10.303993321537774,0.9642583555178652,exact
medgemma-27b,0.6,1956,0.031186094069529654,0.18967280163599182,14.72602597398767,0.5736496182866735,exact
medgemma-27b,0.8,1956,0.032719836400818,0.19120654396728015,18.055121242373605,0.3991660456831866,exact
medgemma-27b,1.0,1956,0.033231083844580775,0.1901840490797546,20.033071573352004,0.30044429464714095,exact
medgemma-27b,1.5,1956,0.03374233128834356,0.1901840490797546,22.43998765205175,0.18006079562170665,exact
medgemma-27b,2.0,1956,0.03374233128834356,0.1901840490797546,23.800902237313025,0.1292471439340393,exact
medgemma-27b,3.0,1956,0.03374233128834356,0.1901840490797546,25.035030701109108,0.08611527077864686,exact
med42-8b,0.0,1956,0.024028629856850715,0.1058282208588957,7.203017917346714,4.1077737481945285,exact
med42-8b,0.02,1956,0.02556237218813906,0.12985685071574643,7.201848506176536,4.102919400915562,exact
med42-8b,0.05,1956,0.02556237218813906,0.13190184049079753,7.201354871589787,4.093933863801437,exact
med42-8b,0.1,1956,0.0270961145194274,0.13548057259713703,7.203951490401094,4.074329716301618,exact
med42-8b,0.2,1956,0.032208588957055216,0.13701431492842536,7.222391879818361,4.017323007061758,exact
med42-8b,0.4,1956,0.037321063394683024,0.13701431492842536,7.314795592845187,3.834272417171472,exact
med42-8b,0.6,1956,0.040388548057259714,0.14212678936605316,7.480817256454259,3.5812966362176257,exact
med42-8b,0.8,1956,0.04294478527607362,0.14775051124744376,7.712252490606657,3.297470013793341,exact
med42-8b,1.0,1956,0.04550102249488753,0.15030674846625766,7.995800719873887,3.0159694040928304,exact
med42-8b,1.5,1956,0.04294478527607362,0.1549079754601227,8.857662665614912,2.393027351986448,exact
med42-8b,2.0,1956,0.0408997955010225,0.15644171779141106,9.851298026462707,1.9003674214797623,exact
med42-8b,3.0,1956,0.037321063394683024,0.15593047034764826,11.948689763321802,1.2475517518845352,exact
gpt-oss-20b,0.0,1956,0.02198364008179959,0.10378323108384459,4.846007495504419,4.959851019023349,exact
gpt-oss-20b,0.02,1956,0.034764826175869123,0.14877300613496933,4.720940484003203,4.952979259233006,exact
gpt-oss-20b,0.05,1956,0.07413087934560328,0.21779141104294478,4.545354185812949,4.925923386654592,exact
gpt-oss-20b,0.1,1956,0.1114519427402863,0.2929447852760736,4.285417997108073,4.8360796200978875,exact
gpt-oss-20b,0.2,1956,0.1497955010224949,0.4335378323108384,3.884990540952869,4.518860263940562,exact
gpt-oss-20b,0.4,1956,0.2223926380368098,0.5695296523517382,3.468913286997005,3.6894960231807983,exact
gpt-oss-20b,0.6,1956,0.25920245398773006,0.6180981595092024,3.3775344892601185,2.9645259419075995,exact
gpt-oss-20b,0.8,1956,0.28016359918200406,0.6467280163599182,3.465188665419403,2.41653931038909,exact
gpt-oss-20b,1.0,1956,0.2903885480572597,0.6579754601226994,3.653322297358035,2.0097732499603485,exact
gpt-oss-20b,1.5,1956,0.30828220858895705,0.6661554192229039,4.34280668356942,1.3798733641050656,exact
gpt-oss-20b,2.0,1956,0.3231083844580777,0.6712678936605317,5.163928595497173,1.0348172976874432,exact
gpt-oss-20b,3.0,1956,0.33026584867075665,0.6779141104294478,6.8879070416108545,0.6780468003770812,exact
r1-distill-32b,0.0,1956,0.020961145194274028,0.10787321063394684,3.9747585457004617,5.505983761585494,exact
r1-distill-32b,0.02,1956,0.07668711656441718,0.17024539877300612,3.971869894369038,5.499980056667249,exact
r1-distill-32b,0.05,1956,0.07668711656441718,0.17024539877300612,3.970874477273039,5.486118712888688,exact
r1-distill-32b,0.1,1956,0.0761758691206544,0.17280163599182005,3.9784075382390713,5.450293083411994,exact
r1-distill-32b,0.2,1956,0.08128834355828221,0.18404907975460122,4.027247845591373,5.341695446413154,exact
r1-distill-32b,0.4,1956,0.08895705521472393,0.18353783231083845,4.233502397837959,5.075747959433024,exact
r1-distill-32b,0.6,1956,0.09406952965235174,0.18967280163599182,4.5352646796721485,4.8173242248760015,exact
r1-distill-32b,0.8,1956,0.09713701431492842,0.19376278118609408,4.897344978700208,4.583364474608182,exact
r1-distill-32b,1.0,1956,0.10020449897750511,0.19580777096114518,5.299070053308975,4.380078815239767,exact
r1-distill-32b,1.5,1956,0.10020449897750511,0.19427402862985685,6.396045072951136,3.9299321435234464,exact
r1-distill-32b,2.0,1956,0.10173824130879346,0.19427402862985685,7.4580247495512495,3.5261471784030483,exact
r1-distill-32b,3.0,1956,0.10480572597137014,0.19631901840490798,9.265349720718982,2.881744425361999,exact
