model,n_cases,mean_permutation_jsd,mean_retest_jsd,absolute_gap,gap_lo,gap_hi,gap_excludes_zero,retest_p95,frac_perm_above_retest_p95,null_expectation
qwen3-4b-nothink,1956,0.12844860935796878,0.07222997232648654,0.05621863703148225,0.05189183851738436,0.060380741204134454,true,0.24357486079036406,0.1334355828220859,0.05
qwen3-4b-think,1954,0.13159571778888682,0.11428543683620233,0.017310280952684498,0.012581588171529028,0.022270906418567906,true,0.33454203938672605,0.04247697031729785,0.05
qwen3-8b-nothink,1956,0.2023050501166356,0.1692304126514548,0.03307463746518077,0.028564909393751725,0.03751016667401997,true,0.3651620779768367,0.06441717791411043,0.05
qwen3-8b-think,1956,0.18436743724177757,0.1610932885337316,0.023274148708046,0.0171865621495258,0.029420849038396125,true,0.40281692415291154,0.04805725971370143,0.05
qwen3-32b-nothink,1956,0.29075403435622404,0.25615902891867576,0.03459500543754826,0.02716213437362807,0.04199959142543086,true,0.5567637600740118,0.046012269938650305,0.05
qwen3-32b-think,1956,0.30945179994557187,0.2665540215652963,0.04289777838027549,0.035168112416508066,0.05066099668826103,true,0.5773566613241297,0.05572597137014315,0.05
medgemma-1.5-4b,1956,0.28357571194322917,0.2815342748463413,0.002041437096887854,-0.004164512670135472,0.00795596792930129,false,0.4737711438696578,0.015848670756646217,0.05
medgemma-27b,1956,0.27122577357955546,0.24638554793475742,0.02484022564479802,0.017521585348804984,0.03245578728982146,true,0.5557237308817397,0.026584867075664622,0.05
med42-8b,1956,0.26228387686334226,0.2549770811483188,0.007306795715023436,-0.0009087347937979389,0.015717222362373346,false,0.553935436132576,0.029141104294478526,0.05
gpt-oss-20b,1955,0.2864759154810896,0.28312145932238547,0.0033544561587041475,-0.0014899352177311059,0.00826397715022565,false,0.4610144598992096,0.02506393861892583,0.05
r1-distill-32b,1956,0.2750414065462574,0.2616131307938746,0.0134282757523828,0.004633430479315068,0.02204877255023202,true,0.5663903748479566,0.029141104294478526,0.05
