model,n_cases,jsd_canonical_retest,jsd_random_retest,floor_delta,jsd_canonical_vs_random,jsd_within_random,delta,delta_ci_lo,delta_ci_hi,significant
qwen3-4b-nothink,1956,0.07698885638391595,0.07222997232648655,0.0047588840574293995,0.140531949693423,0.12844860935796878,0.012083340335454208,0.008324577123405947,0.01592430001172871,true
qwen3-4b-think,1956,0.12711629626477935,0.11428543683620232,0.012830859428577035,0.14008929252935504,0.13146875630411223,0.00792429549437176,0.0035632960752794867,0.012392723085685042,true
qwen3-8b-nothink,1956,0.17215373031343048,0.1692304126514548,0.0029233176619756773,0.20705959382104352,0.2023050501166356,0.004754543704407905,0.0011323585840410295,0.008316955270621911,true
qwen3-8b-think,1956,0.15470753146649424,0.1610932885337316,-0.0063857570672373465,0.18316775234171068,0.1843674372417776,-0.001199684900066924,-0.005814278573008893,0.0034137383168889395,false
qwen3-32b-nothink,1956,0.2322893943979861,0.25615902891867576,-0.02386963452068966,0.27628794484385705,0.290754034356224,-0.014466089512366994,-0.01939232119357788,-0.009486247064555286,true
qwen3-32b-think,1956,0.2489422096358813,0.2665540215652963,-0.017611811929414994,0.296403587914158,0.30945179994557176,-0.013048212031413858,-0.018394196094401367,-0.007650921634011488,true
medgemma-1.5-4b,1956,0.2810285623706097,0.28153427484634136,-0.0005057124757316678,0.2802759088904747,0.28357571194322917,-0.003299803052754491,-0.007689562845317911,0.0012165722555881546,false
medgemma-27b,1956,0.2209671858468631,0.24638554793475745,-0.02541836208789436,0.2592283258602079,0.27122577357955546,-0.011997447719347557,-0.01740790869038847,-0.0062922179906534596,true
med42-8b,1956,0.240016382461251,0.2549770811483188,-0.014960698687067786,0.25793367020370417,0.26228387686334226,-0.004350206659638075,-0.010687303870884637,0.00216627519289744,false
gpt-oss-20b,1956,0.2783312460334379,0.2831214593223854,-0.00479021328894752,0.2868778354583757,0.28655818119292437,0.0004901053438313341,-0.0032949944696527666,0.004441500825821098,false
r1-distill-32b,1956,0.24449386245932095,0.2616131307938746,-0.017119268334553656,0.26595889597005345,0.2750414065462574,-0.00908251057620395,-0.015641416163231923,-0.0022789963148109574,true
