model,competence_top1,direct_top1,elr_top1,retention_ratio,elr_best_tau,elr_best_tau_top1,perm5_top1,perm5_residual,elr_residual
qwen3-4b-nothink,0.26644512610770277,0.05680655066530194,0.032753326509723645,0.5765765765765766,3.0,0.03680981595092025,0.08188331627430911,0.033121232278519264,0.0
qwen3-4b-think,0.23327084753465122,0.061096136567834684,0.04851752021563342,0.7941176470588235,2.0,0.032719836400818,0.09074573225516622,0.04347159758232995,0.0
qwen3-8b-nothink,0.28118609406952966,0.10173824130879346,0.03067484662576687,0.3015075376884422,2.0,0.03067484662576687,0.12678936605316973,0.06795511797116041,0.0
qwen3-8b-think,0.25161895023858216,0.09969325153374232,0.03834355828220859,0.38461538461538464,2.0,0.03885480572597137,0.12014314928425358,0.05833260725125779,0.0
qwen3-32b-nothink,0.5372926607589185,0.18916155419222905,0.1334355828220859,0.7054054054054054,3.0,0.13752556237218813,0.23773006134969324,0.1038110368110347,0.0
qwen3-32b-think,0.5119291070211316,0.1497955010224949,0.1574642126789366,1.0511945392491466,2.0,0.15899795501022496,0.21012269938650308,0.09909408000222063,0.0
medgemma-1.5-4b,0.08052147239263803,0.018404907975460124,0.019427402862985686,1.0555555555555556,0.0,0.02198364008179959,0.02965235173824131,0.09041941978467412,0.0
medgemma-27b,0.520393092478982,0.10429447852760736,0.033231083844580775,0.31862745098039214,0.1,0.03374233128834356,0.11912065439672802,0.08228966598177509,0.0
med42-8b,0.30916269029765964,0.07719836400817996,0.04550102249488753,0.5894039735099338,1.0,0.04550102249488753,0.07208588957055215,0.07756948244633813,0.0
gpt-oss-20b,0.6532320481582342,0.38610478359908884,0.30068337129840544,0.7787610619469026,3.0,0.33026584867075665,0.5375854214123007,0.059383352363547366,0.0
r1-distill-32b,0.30779936378095885,0.11247443762781185,0.10020449897750511,0.8909090909090909,3.0,0.10480572597137014,0.18200408997955012,0.0829921681442777,0.0
