model,n_items,answer_rate,top1_accuracy,acc_ci_low,acc_ci_high,chance,competence_ratio,pred_entropy_bits,top_class_share,beats_chance
qwen3-4b-nothink,35208,1.0,0.26644512610770277,0.2618527708461924,0.27108844288458833,0.02040816326530612,13.055811179277436,4.258313768349494,0.1822029084299023,true
qwen3-4b-think,35208,1.0,0.23327084753465122,0.22888249043204786,0.23771740475775663,0.02040816326530612,11.43027152919791,4.467851425347763,0.174079754601227,true
qwen3-8b-nothink,35208,1.0,0.28118609406952966,0.27651402736183645,0.2859059058233679,0.02040816326530612,13.778118609406954,4.2306336230024995,0.14806294024085434,true
qwen3-8b-think,35208,1.0,0.25161895023858216,0.24711339495950646,0.25617870209457094,0.02040816326530612,12.329328561690527,4.317228946578377,0.20251079300159056,true
qwen3-32b-nothink,35208,1.0,0.5372926607589185,0.5320805980569866,0.5424965862275185,0.02040816326530612,26.327340377187006,4.9704144369600485,0.08316291751874574,true
qwen3-32b-think,35208,1.0,0.5119291070211316,0.5067067528113987,0.5171488583077881,0.02040816326530612,25.08452624403545,5.01289013850718,0.08285048852533515,true
medgemma-1.5-4b,35208,1.0,0.08052147239263803,0.07772477548146309,0.08340969923456537,0.02040816326530612,3.9455521472392636,3.2942615755539935,0.46654169506930243,true
medgemma-27b,35208,1.0,0.520393092478982,0.5151726736440578,0.5256090615549327,0.02040816326530612,25.499261531470122,4.788293742423638,0.11968870711202,true
med42-8b,35208,1.0,0.30916269029765964,0.3043562896939794,0.314010731473127,0.02040816326530612,15.148971824585324,4.910687519913045,0.130169279709157,true
gpt-oss-20b,34885,0.9908259486480345,0.6532320481582342,0.6482209463512046,0.6582094052945203,0.02040816326530612,32.00837035975348,5.200413670604092,0.07398595384835889,true
r1-distill-32b,35208,1.0,0.30779936378095885,0.30299901604973367,0.31264164956089424,0.02040816326530612,15.082168825266985,4.836189047312695,0.09838673028857078,true
