weights,tau,n_cases,top1_accuracy,top5_accuracy,nll_of_truth,mean_entropy_bits
corpus-derived,0.02,1956,0.7131901840490797,0.8890593047034765,1.9451695925510861,4.31578309436667
corpus-derived,0.05,1956,0.8767893660531697,0.9473415132924335,0.7720534499232968,2.1067434732224335
corpus-derived,0.1,1956,0.9473415132924335,0.9867075664621677,0.24935273322481682,0.7748602900175364
corpus-derived,0.2,1956,0.9683026584867076,1.0,0.06484224381181125,0.16191547640543066
corpus-derived,0.4,1956,0.9754601226993865,1.0,0.036623337253265185,0.046798468937700954
corpus-derived,0.6,1956,0.9759713701431493,1.0,0.03824535891492709,0.02989994161061819
corpus-derived,0.8,1956,0.976482617586912,1.0,0.04318439505169528,0.02256131393125786
corpus-derived,1.0,1956,0.976482617586912,1.0,0.04914390400026488,0.018293085391774076
corpus-derived,1.5,1956,0.976482617586912,1.0,0.06566493935514181,0.012553688814593615
corpus-derived,2.0,1956,0.976482617586912,1.0,0.08312511108893456,0.009389180433310775
elicited:qwen3-4b-nothink,0.02,1956,0.028118609406952964,0.1196319018404908,4.1547335799719916,5.128017725617575
elicited:qwen3-4b-think,0.02,1956,0.02965235173824131,0.11196319018404909,3.9515981590337974,5.445977271661089
elicited:qwen3-8b-nothink,0.02,1956,0.024539877300613498,0.19989775051124745,4.020991915928397,5.283928587151971
elicited:qwen3-8b-think,0.05,1956,0.031186094069529654,0.19785276073619631,4.450615245237392,5.416072886066353
elicited:qwen3-32b-nothink,0.05,1956,0.09458077709611452,0.2367075664621677,3.8578421790746655,5.309320976960958
elicited:qwen3-32b-think,0.1,1956,0.1497955010224949,0.27300613496932513,3.7301953229617233,5.3063628865833214
elicited:medgemma-1.5-4b,0.02,1956,0.019427402862985686,0.09867075664621677,4.189754398736989,5.115440151489037
elicited:medgemma-27b,0.02,1956,0.033231083844580775,0.18762781186094069,3.9162383147844357,5.448363563062491
elicited:med42-8b,0.05,1956,0.02556237218813906,0.13190184049079753,7.201354871589787,4.093933863801437
elicited:gpt-oss-20b,0.6,1956,0.25920245398773006,0.6180981595092024,3.3775344892601185,2.9645259419075995
elicited:r1-distill-32b,0.05,1956,0.07668711656441718,0.17024539877300612,3.970874477273039,5.486118712888688
