model,quantity,n,slope_per_finding,slope_ci_lo,slope_ci_hi,pearson_r,significant
qwen3-4b-nothink,order_effect,1956,0.00018274872712265567,-0.0003757617617504714,0.0007131346204906921,0.015402462390106137,false
qwen3-4b-nothink,jsd_permutation,1956,-0.0018166697888650511,-0.002309943719995309,-0.0013487266589421348,-0.16529604716007099,true
qwen3-4b-think,order_effect,1954,-0.0005596597995552211,-0.0011252046065296367,0.00002342969409565872,-0.04240090557928564,false
qwen3-4b-think,jsd_permutation,1956,-0.0051450590216480544,-0.005671942067707066,-0.0046146096570544946,-0.3787138014355904,true
qwen3-8b-nothink,order_effect,1956,0.0008885565250921323,0.000365592522703839,0.0014391711052402364,0.07152442503007299,true
qwen3-8b-nothink,jsd_permutation,1956,0.00212102889780529,0.0016349737523557886,0.0026152986175906573,0.17375881761275627,true
qwen3-8b-think,order_effect,1956,0.00026660062084815644,-0.0004576299277395397,0.0009961516666755089,0.016213916427943297,false
qwen3-8b-think,jsd_permutation,1956,-0.002685317886784707,-0.003301630384477127,-0.002047320898016078,-0.18604403307717718,true
qwen3-32b-nothink,order_effect,1956,0.0002564282473298143,-0.0006147120141315454,0.0011579304869620347,0.01248743702779809,false
qwen3-32b-nothink,jsd_permutation,1956,-0.0015160274012740748,-0.0023125900224307385,-0.0007283697223130117,-0.08480887571282959,true
qwen3-32b-think,order_effect,1956,0.00034312273969063417,-0.0005680739248958205,0.0012477234238750766,0.016039293657443592,false
qwen3-32b-think,jsd_permutation,1956,-0.004595271325119294,-0.005515208565042504,-0.0037122251765938515,-0.2158673528598275,true
medgemma-1.5-4b,order_effect,1956,4.8149708401936975e-6,-0.0006960706750193315,0.0007232062792940346,0.0002919777757913249,false
medgemma-1.5-4b,jsd_permutation,1956,-0.0017978304400539224,-0.0022341854320130816,-0.0013488042414354369,-0.17324242787151142,true
medgemma-27b,order_effect,1956,-0.0001193774559584212,-0.0010309017146878012,0.0007487100283723563,-0.005886158157236794,false
medgemma-27b,jsd_permutation,1956,0.004439964121671541,0.0036474801583244714,0.005215615295659318,0.25462168152984926,true
med42-8b,order_effect,1956,-0.000684485594167857,-0.0017896761214445146,0.0003483656816884181,-0.029119426569127346,false
med42-8b,jsd_permutation,1956,0.0024162050459413708,0.0016860974517129133,0.003087815191246808,0.14619927779981237,true
gpt-oss-20b,order_effect,1955,0.000028190270540359222,-0.0004941094505863588,0.0005664509816781529,0.0021409504836716452,false
gpt-oss-20b,jsd_permutation,1956,0.0014367259583998307,0.000995849853328152,0.001867169670816969,0.14535998492030938,true
r1-distill-32b,order_effect,1956,-0.0007439787029136833,-0.0018501328466293168,0.0003535258043138498,-0.030909193580367117,false
r1-distill-32b,jsd_permutation,1956,-0.004185123304899842,-0.005077850200887587,-0.003354577673715461,-0.21343365324247693,true
