model,n_cases_ceiling,retest_direction_agreement_ceiling,retest_r2_ceiling,retest_slope_ceiling,observed_direction_agreement,observed_r2,observed_beta,chance_direction_agreement,r2_frac_of_ceiling,dir_excess_over_chance
qwen3-4b-nothink,1956,0.787727974625433,0.6181328422800506,0.6336603096593354,0.4976873265494912,0.007481411099639068,0.01644514457775527,0.5,0.012103241549248646,-0.0023126734505087843
qwen3-4b-think,1912,0.6669370677141149,0.5149701854611046,0.4107132304270823,0.5488789237668161,0.00512665562835668,0.015809248890095207,0.5,0.0099552474552799,0.04887892376681613
qwen3-8b-nothink,1956,0.6483243604190142,0.3693349552617819,0.4545220251137529,0.4698551700909397,0.020666083119477152,0.022113592976000636,0.5,0.055954852973039565,-0.03014482990906031
qwen3-8b-think,1956,0.6280831350945285,0.3688511580231854,0.436082090539452,0.45788882650196516,0.013113021632976563,0.03573739792067998,0.5,0.03555098404259937,-0.04211117349803484
qwen3-32b-nothink,1956,0.6441196110345979,0.36507279351545424,0.49119988468670756,0.5052786643751535,0.0006174486254408862,0.010227270001831932,0.5,0.0016913027659365924,0.005278664375153452
qwen3-32b-think,1956,0.6605838654480197,0.4152932383306494,0.5103608569370153,0.4611721611721612,0.002387202692178181,0.02588722904612225,0.5,0.00574823395096438,-0.0388278388278388
medgemma-1.5-4b,1956,0.5908664079128583,0.1952669710216161,0.34977540197642465,0.4861078683166005,5.216273268660032e-6,0.0009217411639097436,0.5,0.000026713546286753172,-0.013892131683399478
medgemma-27b,1956,0.6047431242435625,0.42050961958077926,0.4408548459795602,0.45355888924353654,0.008098506313600873,0.02215738257490996,0.5,0.019258789660209337,-0.046441110756463455
med42-8b,1956,0.6097512624681775,0.35683320280905617,0.12517977891971785,0.526200394650296,0.01145279394293186,0.057551089735790185,0.5,0.03209565100100936,0.026200394650296
gpt-oss-20b,1887,0.5871645955679567,0.21863578510889445,0.2031450041932159,0.5333168194203617,0.002601404923425865,0.023089811734809465,0.5,0.011898349220966737,0.03331681942036169
r1-distill-32b,1956,0.5942677684570762,0.3155294158748613,0.369580372221762,0.5245079120030877,0.000020065915085965003,0.0031664687226268997,0.5,0.0000635944354992345,0.024507912003087662
